Magnification,Class,count,mean,std,median,q1,q3,min,max
10X,fibers,10,38.83531057098766,6.914041173536881,40.76740933641976,33.848849826388886,43.466001157407405,27.59201388888889,47.53766396604938
10X,resin,10,46.80770158179012,7.116453096313934,46.63633294753087,40.435486593364196,53.17649257330247,38.172212577160494,57.254870756172835
10X,pores,10,14.350848765432099,2.354708696827667,13.18942901234568,12.414605034722221,16.427408854166668,12.116030092592593,18.071421682098766
10X,undefined,10,0.0061390817901234565,0.018778418193292765,0.0,0.0,0.0,0.0,0.059558256172839504
20X,fibers,11,54.510806853254756,5.508644873172169,55.71175733024691,50.311583719135804,57.528380594135804,46.59235146604938,63.74937307098766
20X,resin,11,29.48619879349046,1.9754207871024736,29.723572530864196,28.73734085648148,30.317201967592595,26.05034722222222,32.57060185185185
20X,pores,11,15.99519500561167,5.563056397939234,14.83719135802469,12.587842399691358,19.687861689814817,7.828414351851852,27.332706404320987
20X,undefined,11,0.007799347643097643,0.010921708865258678,0.0007233796296296297,0.0,0.014322916666666668,0.0,0.028115354938271605
50X,fibers,10,58.82611400462963,9.072482960958599,57.36176215277778,55.00138647762346,64.26382860725309,40.90552662037037,72.1224922839506
50X,resin,10,30.011014660493828,4.974093413546789,28.684871720679013,28.176034432870367,30.27668065200617,23.782021604938272,38.80719521604939
50X,pores,10,10.775217013888888,7.742552970397664,8.832658179012345,5.842857831790123,13.397593557098766,2.760898919753086,29.794560185185187
50X,undefined,10,0.3876543209876543,0.39782174662259195,0.23845003858024694,0.10372058256172839,0.7316382137345679,0.0,1.0497685185185184
