Image Paths,pores,fibers,resin,undefined,sumcheck,total_pixels,pores_pixels,fibers_pixels,resin_pixels,undefined_pixels,invalid_pixels,invalid_percent,Magnification
outputs/test/10X BF EXP 5 - 1-mask.png,18.071421682098766,27.59201388888889,54.33656442901235,0.0,100.0,2073600,374729,572148,1126723,0,0,0.0,10X
outputs/test/10X BF EXP5 - 10-mask.png,13.06423611111111,40.76581790123457,46.16994598765432,0.0,100.0,2073600,270900,845320,957380,0,0,0.0,10X
outputs/test/10X BF EXP5 - 2-mask.png,12.116030092592593,32.77835648148148,55.105613425925924,0.0,100.0,2073600,251238,679692,1142670,0,0,0.0,10X
outputs/test/10X BF EXP5 - 3-mask.png,13.13546489197531,29.607831790123456,57.254870756172835,0.0018325617283950616,100.0,2073600,272377,613948,1187237,38,0,0.0,10X
outputs/test/10X BF EXP5 - 4-mask.png,13.243393132716049,37.060329861111114,49.69627700617284,0.0,100.0,2073600,274615,768483,1030502,0,0,0.0,10X
outputs/test/10X BF EXP5 - 5-mask.png,17.549430941358025,41.50144675925926,40.949122299382715,0.0,100.0,2073600,363905,860574,849121,0,0,0.0,10X
outputs/test/10X BF EXP5 - 6-mask.png,12.128279320987655,40.769000771604944,47.10271990740741,0.0,100.0,2073600,251492,845386,976722,0,0,0.0,10X
outputs/test/10X BF EXP5 - 7-mask.png,16.85373263888889,44.12085262345679,39.02541473765432,0.0,100.0,2073600,349479,914890,809231,0,0,0.0,10X
outputs/test/10X BF EXP5 - 8-mask.png,12.198061342592592,47.53766396604938,40.264274691358025,0.0,100.0,2073600,252939,985741,834920,0,0,0.0,10X
outputs/test/10X BF EXP5 - 9-mask.png,15.1484375,46.619791666666664,38.172212577160494,0.059558256172839504,100.0,2073600,314118,966708,791539,1235,0,0.0,10X
outputs/test/20X BF EXP 5 - 8-mask.png,27.332706404320987,46.59235146604938,26.05034722222222,0.024594907407407406,100.0,2073600,566771,966139,540180,510,0,0.0,20X
outputs/test/20X BF EXP5 - 10-mask.png,15.838686342592592,52.20915316358025,31.952160493827158,0.0,100.0,2073600,328431,1082609,662560,0,0,0.0,20X
outputs/test/20X BF EXP5 - 2-mask.png,14.83719135802469,55.71175733024691,29.441309799382715,0.009741512345679012,100.0,2073600,307664,1155239,610495,202,0,0.0,20X
outputs/test/20X BF EXP5 - 3-mask.png,14.325376157407407,55.74416473765432,29.929735725308642,0.0007233796296296297,100.0,2073600,297051,1155911,620623,15,0,0.0,20X
outputs/test/20X BF EXP5 - 4-mask.png,20.136381172839506,47.26490162037037,32.57060185185185,0.028115354938271605,100.0,2073600,417548,980085,675384,583,0,0.0,20X
outputs/test/20X BF EXP5 - 5-mask.png,7.828414351851852,63.74937307098766,28.422212577160494,0.0,100.0,2073600,162330,1321907,589363,0,0,0.0,20X
outputs/test/20X BF EXP5 - 6-mask.png,13.438560956790123,56.837866512345684,29.723572530864196,0.0,100.0,2073600,278662,1178590,616348,0,0,0.0,20X
outputs/test/20X BF EXP5 - 7-mask.png,10.256703317901234,60.6908275462963,29.05246913580247,0.0,100.0,2073600,212683,1258485,602432,0,0,0.0,20X
outputs/test/20X BF EXP5 - 9-mask.png,20.97665895061728,48.41401427469136,30.609326774691358,0.0,100.0,2073600,434972,1003913,634715,0,0,0.0,20X
outputs/test/20x BF EXP30 - 1-mask.png,19.239342206790123,54.185570987654316,26.571373456790127,0.0037133487654320988,100.0,2073600,398947,1123592,550984,77,0,0.0,20X
outputs/test/20x BF EXP5 - 1-mask.png,11.737123842592592,58.218894675925924,30.02507716049383,0.01890432098765432,100.0,2073600,243381,1207227,622600,392,0,0.0,20X
outputs/test/50X BF EXP5 - 1-mask.png,14.163194444444443,54.75221836419754,30.177613811728392,0.9069733796296297,100.0,2073600,293688,1135342,625763,18807,0,0.0,50X
outputs/test/50X BF EXP5 - 10-mask.png,9.936969521604938,60.78202160493827,28.423514660493826,0.857494212962963,100.0,2073600,206053,1260376,589390,17781,0,0.0,50X
outputs/test/50X BF EXP5 - 2-mask.png,13.587336033950617,55.748890817901234,30.309702932098766,0.3540702160493827,100.0,2073600,281747,1156009,628502,7342,0,0.0,50X
outputs/test/50X BF EXP5 - 3-mask.png,29.794560185185187,40.90552662037037,28.250144675925924,1.0497685185185184,100.0,2073600,617820,848217,585795,21768,0,0.0,50X
outputs/test/50X BF EXP5 - 4-mask.png,7.728346836419753,53.37268518518519,38.80719521604939,0.09177276234567901,100.0,2073600,160255,1106736,804706,1903,0,0.0,50X
outputs/test/50X BF EXP5 - 5-mask.png,4.879195601851852,56.74715470679013,38.373649691358025,0.0,100.0,2073600,101175,1176709,795716,0,0,0.0,50X
outputs/test/50X BF EXP5 - 6-mask.png,6.4242380401234565,65.42443094135803,28.151331018518515,0.0,100.0,2073600,133213,1356641,583746,0,0,0.0,50X
outputs/test/50X BF EXP5 - 7-mask.png,5.649064429012346,70.4293499228395,23.782021604938272,0.13956404320987656,100.0,2073600,117139,1460423,493144,2894,0,0.0,50X
outputs/test/50X BF EXP5 - 8-mask.png,2.760898919753086,72.1224922839506,24.888744212962962,0.22786458333333334,100.0,2073600,57250,1495532,516093,4725,0,0.0,50X
outputs/test/50X BF EXP5 - 9-mask.png,12.828366126543209,57.97636959876543,28.946228780864196,0.2490354938271605,100.0,2073600,266009,1202198,600229,5164,0,0.0,50X
